table_id,page_title,section_title,table_caption,headers,sample_data
table-0775-559,Team Plussbank,Additional sponsorship,Additional sponsorship,"[""Company""]","[[""Sportsnutrition/PowerBar""], [""Catlike Helmets""], [""Sidi Cycling shoes""]]"
table-0776-561,Prime Minister of Lower Saxony,The Prime Ministers of Lower Saxony,The Prime Ministers of Lower Saxony,"[""Prime Ministers of Lower Saxony"", ""Prime Ministers of Lower Saxony"", ""Prime Ministers of Lower Saxony"", ""Prime Ministers of Lower Saxony"", ""Prime Ministers of Lower Saxony"", ""Prime Ministers of Lower Saxony""]","[[""1"", ""[Hinrich_Wilhelm_Kopf|Hinrich Wilhelm Kopf]"", """", ""1893\u20131961"", ""[Social_Democratic_Party_of_Germany|SPD]"", ""1946""], [""2"", ""[Heinrich_Hellwege|Heinrich Hellwege]"", """", ""1908\u20131991"", ""[German_Party_(1947)|DP]"", ""1955""], [""3"", ""[Hinrich_Wilhelm_Kopf|Hinrich Wilhelm Kopf]"", """", ""1893\u20131961"", ""[Social_Democratic_Party_of_Germany|SPD]"", ""1959""]]"
table-0779-302,Pain scale,,Examples of pain scales,"["""", ""Self-report"", ""Observational"", ""Physiological""]","[[""Infant"", ""\u2014"", ""Premature Infant Pain Profile; Neonatal/Infant Pain Scale"", ""\u2014""], [""Child"", ""Faces Pain Scale - Revised; Wong-Baker FACES Pain Rating Scale; Coloured Analogue Scale"", ""[FLACC_scale|FLACC]"", ""Comfort""], [""Adult"", ""Visual Analog Scale (VAS); Verbal Numerical Rating Scale (VNRS); Verbal Descriptor Scale (VDS); Brief Pain Inventory"", ""\u2014"", ""\u2014""]]"
table-0779-303,Pain scale,Numeric Rating Scale,Numeric Rating Scale,"[""Rating"", ""Pain Level""]","[[""0"", ""No Pain""], [""1 \u2013 3"", ""[Activities_of_daily_living|ADLs]""], [""4 \u2013 6"", ""Moderate Pain (interferes significantly with ADLs)""]]"
table-0780-690,Chris Watts,Filmography,Filmography,"[""Year"", ""Film"", ""Credit""]","[[""2013 Post-production"", ""[Horns_(film)|Horns]"", ""[Visual_effects_supervisor|2nd unit visual Effects Supervisor]""], [""2014 Pre-production"", ""[Akira_(film)|Akira]"", ""[Visual_effects_supervisor|Visual Effects Supervisor]""], [""2014 Post-production"", ""[Gravity_(film)|Gravity]"", ""[Visual_effects|Visual Effects Consultant]""]]"
table-0780-807,Snow in Brazil,Average altitude,Average altitude,"[""City"", ""State"", ""Altitude (m)"", ""Altitude (ft)""]","[[""[S\u00e3o_Joaquim|S\u00e3o Joaquim]"", ""SC"", ""1360"", ""4461""], [""[Urupema|Urupema]"", ""SC"", ""1335"", ""4380""], [""[Bom_Jardim_da_Serra|Bom Jardim da Serra]"", ""SC"", ""1245"", ""4085""]]"
table-0781-227,All-time table of the FIFA World Cup,All-time table,All-time table,"[""Rank"", ""Ranking of teams based on total points""]","[[""Team"", ""National team""], [""Participations"", ""Number of World Cup participations""], [""Matches"", ""Total number of games played""]]"
table-0786-423,Delaware Coast Line Railroad,Major clients,Major clients,"[""Customer"", ""Location""]","[[""Atlantic Concrete Co., Inc."", ""[Lewes,_Delaware|Lewes, Delaware]""], [""Barcroft Company"", ""Lewes""], [""VFL Industries"", ""[Indian_River_(Delaware)|Indian River (Delaware)]""]]"
table-0787-879,Harry Potter in amusement parks,Attractions,Attractions,"[""Attraction"", ""Type"", ""[Islands_of_Adventure|IOA]"", ""[Universal_Studios_Hollywood|USH]"", ""[Warner_Bros._Movie_World|WBMW]""]","[[""[Dragon_Challenge|Dragon Challenge]"", ""[Dual-tracked_roller_coaster|Dual-tracked roller coaster]"", ""2010\u2013"", """", """"], [""[Flight_of_the_Hippogriff|Flight of the Hippogriff]"", ""[Vekoma_Junior_Coaster|Junior roller coaster]"", ""2010\u2013"", """", """"], [""[Harry_Potter_and_the_Forbidden_Journey|Harry Potter and the Forbidden Journey]"", ""[Dark_ride|Dark ride]"", ""2010\u2013"", ""2014\u2013"", """"]]"
table-0789-871,Granny (townland),Statistics,Earlier recorded forms,"[""Year"", ""Form""]","[[""1609"", ""Durngrunagh""], [""1654"", ""Cranne""], [""1654"", ""Granny""]]"
table-0789-909,Mormeal,Statistics,Earlier recorded forms,"[""Year"", ""Form""]","[[""1654"", ""Mirrimeith""], [""1657c"", ""Merinnch (D.S.)""], [""1659c"", ""Mirmihellgrany (joined with Granny)""]]"
table-0790-837,NASA INSPIRE,NASA Centers,NASA Centers,"[""NASA Center"", ""Location"", ""Area of Service""]","[[""NASA Facility: Ames Research Center"", ""Moffett Field, California"", ""Alaska, Northern California (southernmost counties of Inyo, Kings, Monterey, Tulare), Hawaii, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming""], [""Dryden Research Center"", ""Edwards Air Force Base, California"", ""Arizona, Southern California (northernmost counties of Kern, San Bernardino, San Luis Obispo)""], [""Glenn Research Center"", ""Cleveland, Ohio"", ""Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin""]]"
table-0791-274,Comparison of digital SLRs,Timelines,Timelines,"["""", ""Sensor"", ""2004"", ""2004"", ""2005"", ""2005"", ""2005"", ""2005"", ""2006"", ""2006"", ""2006"", ""2006"", ""2007"", ""2007"", ""2007"", ""2007"", ""2008"", ""2008"", ""2008"", ""2008"", ""2009"", ""2009"", ""2009"", ""2009"", ""2010"", ""2010"", ""2010"", ""2010"", ""2011"", ""2011"", ""2011"", ""2011"", ""2012"", ""2012"", ""2012"", ""2012"", ""2013"", ""2013"", ""2013"", ""2013""]","[[""3"", ""4"", ""1"", ""2"", ""3"", ""4"", ""1"", ""2"", ""3"", ""4"", ""1"", ""2"", ""3"", ""4"", ""1"", ""2"", ""3"", ""4"", ""1"", ""2"", ""3"", ""4"", ""1"", ""2"", ""3"", ""4"", ""1"", ""2"", ""3"", ""4"", ""1"", ""2"", ""3"", ""4"", ""1"", ""2"", ""3"", ""4"", """", """"], [""High-end"", ""[Full-frame_digital_SLR|Full frame]"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", ""[Sony_Alpha_900|\u03b1900]"", ""[Sony_Alpha_900|\u03b1900]"", ""[Sony_Alpha_900|\u03b1900]"", ""[Sony_Alpha_900|\u03b1900]"", ""[Sony_Alpha_900|\u03b1900]"", ""[Sony_Alpha_900|\u03b1900]"", ""[Sony_Alpha_900|\u03b1900]"", ""[Sony_Alpha_900|\u03b1900]"", ""[Sony_Alpha_900|\u03b1900]"", ""[Sony_Alpha_900|\u03b1900]"", ""[Sony_Alpha_900|\u03b1900]"", ""[Sony_Alpha_900|\u03b1900]"", ""[Sony_Alpha_900|\u03b1900]"", """", """", """", ""[Sony_Alpha_99|\u03b199]"", ""[Sony_Alpha_99|\u03b199]"", ""[Sony_Alpha_99|\u03b199]"", ""[Sony_Alpha_99|\u03b199]"", ""[Sony_Alpha_99|\u03b199]""], [""High-end"", ""[Full-frame_digital_SLR|Full frame]"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", ""[Sony_Alpha_850|\u03b1850]"", ""[Sony_Alpha_850|\u03b1850]"", ""[Sony_Alpha_850|\u03b1850]"", ""[Sony_Alpha_850|\u03b1850]"", ""[Sony_Alpha_850|\u03b1850]"", ""[Sony_Alpha_850|\u03b1850]"", ""[Sony_Alpha_850|\u03b1850]"", """", """", """", """", """", """", """", """", """", """"]]"
table-0791-311,List of countries with Burger King franchises,Europe,Europe,"[""Country/Territory"", ""Year entered"", ""Owner"", ""Notes""]","[[""Andorra"", """", """", ""1 restaurant""], [""Austria"", """", """", """"], [""Azerbaijan"", """", ""TAB G\u0131da"", """"]]"
table-0791-313,List of countries with Burger King franchises,Oceania,Oceania,"[""Country/Territory"", ""Year entered"", ""Owner"", ""Notes""]","[[""Australia"", ""1971"", ""Hungry Jack's Pty Ltd"", ""Hungry Jacks is the master franchise for Australia""], [""Guam"", """", """", """"], [""New Zealand"", ""1994"", ""Anchorage Capital Partners"", ""Original owners, TPF Group, sold company in 2009""]]"
table-0791-515,West Virginia Route 114,Attractions,Attractions,"[""Location"", ""Mile"", ""km"", ""Destinations"", ""Notes""]","[[""[Charleston,_West_Virginia|Charleston]"", ""0.00"", ""Category:Pages with bad rounding precision"", ""Category:Jct template transclusions with missing shields"", ""Southern terminus.""], [""[Charleston,_West_Virginia|Charleston]"", ""0.2"", ""Category:Pages with bad rounding precision"", ""Category:Jct template transclusions with missing shields"", ""Three level junction.""], [""[Charleston,_West_Virginia|Charleston]"", ""1.8"", ""Category:Pages with bad rounding precision"", ""Airport Road"", ""[Yeager_Airport|Yeager Airport]""]]"
table-0791-58,Brian Keane,Emmy Awards (Composer),Emmy Awards (Composer),"[""Award Type"", ""Status"", ""Work"", ""Year"", ""Role""]","[[""Emmy, Best Music Composition"", ""Nominated"", ""Babe Ruth (HBO)"", ""1998"", ""Composer""], [""Emmy, Best Music Composition"", ""Nominated"", ""Bill Russell (HBO)"", ""2000"", ""Composer""], [""Emmy, Best Music Composition"", ""Nominated"", ""Do You Believe In Miracles? (HBO)"", ""2001"", ""Composer""]]"
table-0795-251,List of people with the most children,Fathers,Fathers,"[""# Children"", ""Father"", ""Notes""]","[[""888"", ""[Ismail_Ibn_Sharif|Ismail Ibn Sharif]"", ""[Alaouite_dynasty|Alaouite]""], [""300\u2013600"", ""[Bertold_Wiesner|Bertold Wiesner]"", ""[Eva_Ibbotson|Eva Ibbotson]""], [""210"", ""[Sobhuza_II|Sobhuza II]"", ""[Swaziland|Swaziland]""]]"
table-0798-22,2010 Sahel famine,International response,International response,"[""The donor nation or organisation involved."", ""Type of aid given."", ""Amount of material aid given"", ""Amount of cash given.""]","[[""France"", ""Food"", ""N/A"", ""N/A""], [""[Senegal|Senegal]"", ""Food"", ""N/A"", ""N/A""], [""[Morocco|Morocco]"", ""Cash"", ""N/A"", ""N/A""]]"
table-0798-223,Spratly Islands dispute,Occupied features,People's Republic of China,"[""Int'l Name"", ""Local Names"", ""Description"", ""Area (ha.)""]","[[""[Cuarteron_Reef|Cuarteron Reef]"", ""\u534e\u9633\u7901 Huayang Jiao"", ""Category:Articles containing potentially dated statements from 2011"", ""0""], [""[Cuarteron_Reef|Cuarteron Reef]"", ""Calderon"", ""Category:Articles containing potentially dated statements from 2011"", ""0""], [""[Cuarteron_Reef|Cuarteron Reef]"", ""\u0110\u00e1 Ch\u00e2u Vi\u00ean"", ""Category:Articles containing potentially dated statements from 2011"", ""0""]]"
table-0798-552,List of professional sports teams in Michigan,Major league teams,Major league teams,"[""Club"", ""Sport"", ""League""]","[[""[Detroit_Tigers|Detroit Tigers]"", ""[Baseball|baseball]"", ""[Major_League_Baseball|Major League Baseball]""], [""[Detroit_Lions|Detroit Lions]"", ""[American_football|football]"", ""[National_Football_League|National Football League]""], [""[Detroit_Red_Wings|Detroit Red Wings]"", ""[Ice_hockey|ice hockey]"", ""[National_Hockey_League|National Hockey League]""]]"
table-0798-652,List of eponymous medical treatments,,,"[""Letter"", ""Treatment"", ""Name"", ""Specialty"", ""Description"", ""Reference/External link""]","[[""B"", ""Brandt\u2013Daroff manoeuvre"", ""Thomas Brandt, Robert B. Daroff"", ""[Otorhinolaryngology|Otorhinolaryngology]"", ""[Benign_paroxysmal_positional_vertigo|benign paroxysmal positional vertigo]"", ""Who Named It?""], [""C"", ""Carrel\u2013Dakin treatment"", ""[Alexis_Carrel|Alexis Carrel]"", ""[General_surgery|General surgery]"", ""[Wound|wound]"", ""Who Named It?""], [""E"", ""[Epley_maneuver|Epley's manoeuvre]"", ""John Epley"", ""[Otorhinolaryngology|Otorhinolaryngology]"", ""[Benign_paroxysmal_positional_vertigo|benign paroxysmal positional vertigo]"", """"]]"
table-0800-191,List of former Warner Bros. Movie World attractions,Attractions,Attractions,"[""Name"", ""Opened"", ""Closed"", ""Description"", ""Replacement"", ""Notes""]","[[""[Batman_Adventure_\u2013_The_Ride|Batman Adventure - The Ride]"", ""1993"", ""2001"", ""[Batman_Adventure_\u2013_The_Ride|Batman Adventure - The Ride 2]"", ""[Batman_Adventure_\u2013_The_Ride|Batman Adventure - The Ride 2]"", """"], [""[Batman_Adventure_\u2013_The_Ride|Batman Adventure - The Ride 2]"", ""2001"", ""2011"", ""A simulator ride."", ""[Justice_League:_Alien_Invasion_3D|Justice League: Alien Invasion 3D]"", """"], [""[Harry_Potter_Movie_Magic_Experience|Harry Potter Movie Magic Experience]"", ""2001"", ""2003"", ""[Harry_Potter|first two Harry Potter movies]"", ""[The_Official_Matrix_Exhibit|The Official Matrix Exhibit]"", """"]]"
table-0801-695,Davy Medal,List of recipients,List of recipients,"[""Year"", ""Name"", ""Rationale"", ""Notes""]","[[""1877"", ""[Robert_Bunsen|Robert Wilhelm Bunsen]"", ""\""For their researches & discoveries in spectrum analysis\"""", """"], [""1878"", ""[Louis_Paul_Cailletet|Louis Paul Cailletet]"", ""\""For their researches, conducted independently, but contemporaneously, on the condensation of the so-called permanent gases\"""", """"], [""1879"", ""[Paul-\u00c9mile_Lecoq_de_Boisbaudran|Paul Emile Lecoq de Boisbaudran]"", ""\""For his discovery of gallium\"""", """"]]"
table-0801-851,Galactic quadrant,Constellations Grouped by Quadrants,Constellations Grouped by Quadrants,"[""Quad"", ""[Zodiac|Zodiacal constellations]""]","[[""NQ1"", ""08 (Pisces, Andromeda, Cassiopeia, Triangulum, Aries, Perseus, Taurus, Orion)""], [""NQ2"", ""10 (Auriga, Monoceros, Gemini, Canis Minor, Lynx, Cancer, Camelopardalis, Leo Minor, Leo, Ursa Major)""], [""NQ3"", ""08 (Coma Berenices, Canes Venatici, Bo\u00f6tes, Ursa Minor, Draco, Corona Borealis, Serpens, Hercules)""]]"
table-0802-722,ProgPower Europe,Lineups,Lineups,"[""year"", ""location"", ""Thursday / Friday"", ""Saturday"", ""Sunday""]","[[""2013"", ""Sjiwa"", ""[Damian_Wilson|Damian Wilson]"", ""Dimaeon"", ""Malicious Dream""], [""2012"", ""Sjiwa"", ""Heaven's Cry"", ""[Vanden_Plas_(band)|Vanden Plas]"", ""[Circus_Maximus_(Norwegian_band)|Circus Maximus]""], [""2011"", ""Sjiwa"", ""[Seventh_Wonder|Seventh Wonder]"", ""[Symphony_X|Symphony X]"", ""[Redemption_(band)|Redemption]""]]"
table-0803-130,Ligue de Football de Saint Pierre et Miquelon,Clubs,Clubs,"[""Club"", ""City""]","[[""A.S. Ilienne Amateur"", ""[Saint-Pierre,_Saint_Pierre_and_Miquelon|Saint-Pierre]""], [""A.S. Miquelonnaise"", ""[Miquelon-Langlade|Miquelon-Langlade]""], [""[A.S._Saint_Pierraise|A.S. Saint Pierraise]"", ""[Saint-Pierre,_Saint_Pierre_and_Miquelon|Saint-Pierre]""]]"
table-0804-473,List of fictional currencies,Television,Television,"[""Work"", ""Currency Unit"", ""Symbol""]","[[""[Star_Trek|Star Trek]"", ""Latinum (Bricks, bars, strips, slips)"", """"], [""[Star_Trek|Star Trek]"", ""[United_Federation_of_Planets|Federation credit]"", """"], [""[Star_Trek|Star Trek]"", ""Darsek"", """"]]"
table-0804-475,List of fictional currencies,Anime/Manga/Cartoons,Anime/Manga/Cartoons,"[""Work"", ""Currency Unit"", ""Symbol""]","[[""[Batman_Beyond|Batman Beyond]"", ""Credit"", """"], [""[Bleach_(manga)|Bleach]"", ""Kan"", """"], [""[Cowboy_Bebop|Cowboy Bebop]"", ""Woolongs"", ""\u20a9""]]"
table-0804-645,2010 FedEx Cup Playoffs,Final leaderboard,Final leaderboard,"[""#"", ""Player"", ""Country"", ""Points"", ""Winnings ($)""]","[[""1"", ""[Jim_Furyk|Jim Furyk]"", ""[United_States|United States]"", ""2,980.0"", ""10,000,000""], [""2"", ""[Matt_Kuchar|Matt Kuchar]"", ""[United_States|United States]"", ""2,727.5"", ""3,000,000""], [""3"", ""[Luke_Donald|Luke Donald]"", ""[England|England]"", ""2,700.0"", ""2,000,000""]]"
table-0804-919,Robert McKenna,,Life,"[""Ordination history of Robert McKenna"", ""Ordination history of Robert McKenna""]","[[""Date of ordination"", ""1958""], [""Episcopal consecration"", ""Episcopal consecration""], [""Principal consecrator"", ""[Michel-Louis_Gu\u00e9rard_des_Lauriers|Guerard des Lauriers]""]]"
table-0805-12,List of U.S. state foods,Table,Table,"[""State"", ""Food type"", ""Food name"", ""Image"", ""Year & Citation""]","[[""[Alabama|Alabama]"", ""State nut"", ""[Pecan|Pecan]"", """", ""1982""], [""[Alabama|Alabama]"", ""State fruit"", ""[Blackberry|Blackberry]"", """", ""2004""], [""[Alabama|Alabama]"", ""State tree fruit"", ""[Peach|Peach]"", """", ""2006""]]"
table-0806-10,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,Reviews,Review scores,"[""Publication"", ""Score""]","[[""[IGN|IGN]"", ""PS2: 6.5 of 10 GCN: 6.5 of 10""], [""Compilations of multiple reviews"", ""Compilations of multiple reviews""], [""[GameRankings|GameRankings]"", ""PS2: 69.4% (based on 7 reviews) GCN: 65.7% (based on 7 reviews) GBA: 58.0% (based on 4 reviews)""]]"
table-0806-54,Color of chemicals,Colors by wavelength,Colors by wavelength,"[""Wavelength (nm)"", ""Color"", ""Color"", ""Complementary Color"", ""Complementary Color""]","[[""400-424"", """", ""Violet"", """", ""Green-yellow""], [""424-491"", """", ""Blue"", """", ""Yellow""], [""491-570"", """", ""Green"", """", ""Violet""]]"
table-0806-57,Color of chemicals,Metals,Metals,"[""Name"", ""Formula"", ""Color""]","[[""Potassium"", ""K"", ""Lilac/Purple""], [""Sodium"", ""Na"", ""Yellow""], [""Lithium"", ""Li"", ""Red""]]"
table-0806-58,Color of chemicals,Gases,Gases,"[""Name"", ""Formula"", ""Color""]","[[""Hydrogen"", ""H 2"", ""colorless""], [""Chlorine"", ""Cl 2"", ""greenish yellow""], [""Iodine"", ""I 2"", ""purple""]]"
table-0808-501,Sir Mix-a-Lot discography,Music videos,Music videos,"[""Year"", ""Title"", ""Director""]","[[""1988"", ""\""Posse on Broadway\"""", ""Brad Huskinson""], [""1989"", ""\""Iron Man\"""", ""Brad Huskinson""], [""1989"", ""\""Beepers\"""", ""Brad Huskinson""]]"
table-0808-950,Pneumothorax,Secondary spontaneous,Secondary spontaneous,"[""Type"", ""Causes""]","[[""Diseases of the airways"", ""[Chronic_obstructive_pulmonary_disease|emphysema]""], [""Infections of the lung"", ""[Pneumocystis_pneumonia|Pneumocystis pneumonia]""], [""[Interstitial_lung_disease|Interstitial lung disease]"", ""[Sarcoidosis|Sarcoidosis]""]]"
table-0809-357,Leap of Faith (musical),Original Broadway production,Original Broadway production,"[""Year"", ""Award"", ""Category"", ""Nominee"", ""Result""]","[[""2012"", ""[Tony_Award|Tony Award]"", ""[Tony_Award_for_Best_Musical|Best Musical]"", ""[Tony_Award_for_Best_Musical|Best Musical]"", ""Nominated""], [""2012"", ""[Drama_Desk_Award|Drama Desk Award]"", ""[Drama_Desk_Award_for_Outstanding_Musical|Outstanding Musical]"", ""[Drama_Desk_Award_for_Outstanding_Musical|Outstanding Musical]"", ""Nominated""], [""2012"", ""[Drama_Desk_Award|Drama Desk Award]"", ""[Drama_Desk_Award_for_Outstanding_Book_of_a_Musical|Outstanding Book of a Musical]"", ""[Janus_Cercone|Janus Cercone]"", ""Nominated""]]"
table-0809-4,List of synthetic polymers,Brand names,Brand names,"[""Brand Name"", ""Polymer"", ""Characteristic properties"", ""Uses""]","[[""[Bakelite|Bakelite]"", ""[Phenol_formaldehyde_resin|Phenol-formaldehyde resin]"", ""High electric, heat and chemical resistance"", ""[AC_power_plugs_and_sockets|sockets]""], [""[Kevlar|Kevlar]"", ""[Aramid|Para-aramid]"", ""[Ultimate_tensile_strength|tensile strength]"", ""[Armour|armour]""], [""[Twaron|Twaron]"", ""[Aramid|Para-aramid]"", ""Heat resistant and strong fibre"", ""[Bulletproofing|Bulletproofing]""]]"
table-0810-501,ASB Phoenix Challenge,Current Clubs,Current Clubs,"[""Team"", ""Location"", ""Stadium"", ""Coach""]","[[""[Auckland_City_FC|Auckland City FC]"", ""[Auckland|Auckland]"", ""[Kiwitea_Street|Kiwitea Street]"", ""Ramon Tribulietx""], [""[Canterbury_United_FC|Canterbury United]"", ""[Canterbury|Canterbury]"", ""[English_Park|ASB Football Park]"", ""[Keith_Braithwaite|Keith Braithwaite]""], [""[Hawke's_Bay_United_FC|Hawke's Bay United]"", ""[Napier,_New_Zealand|Napier]"", ""[Park_Island,_Napier|Bluewater Stadium]"", ""Chris Greatholder""]]"
table-0811-503,Denard Robinson,Pre-draft,Pre-draft measurables,"[""Ht"", ""Wt"", ""Arm length"", ""Hand size"", ""[40-yard_dash|40-yd dash]"", ""10-yd split"", ""20-yd split"", ""[20-yard_shuttle|20-ss]"", ""[Three-cone_drill|3-cone]"", ""[Vertical_jump|Vert]"", ""[Standing_long_jump|Broad]"", ""[NFL_scouting_combine|BP]""]","[[""5ft 11in"", ""199 lb"", ""32 5\u20448 in"", ""9in"", ""4.43 s"", ""1.55 s"", ""2.50 s"", ""4.22 s"", ""7.09 s"", ""36.5 in"", ""10ft 3in"", """"], [""All values from NFL Combine"", ""All values from NFL Combine"", ""All values from NFL Combine"", ""All values from NFL Combine"", ""All values from NFL Combine"", ""All values from NFL Combine"", ""All values from NFL Combine"", ""All values from NFL Combine"", ""All values from NFL Combine"", ""All values from NFL Combine"", ""All values from NFL Combine"", ""All values from NFL Combine""]]"
table-0813-439,Southeast Asia,Countries,Countries,"[""Country"", ""Area (km 2 )"", ""Population(2012)"", ""Density (/km 2 )"", ""GDP (nominal), USD (2012)"", ""GDP (nominal) per capita, USD (2012)"", ""HDI (2012)"", ""Capital""]","[[""[Brunei|Brunei]"", ""5,765"", ""434,320"", ""74"", ""16,852,000,000"", ""$38,801"", ""0.885"", ""[Bandar_Seri_Begawan|Bandar Seri Begawan]""], [""[Cambodia|Cambodia]"", ""181,035"", ""15,254,000"", ""84"", ""14,246,000,000"", ""$934"", ""0.543"", ""[Phnom_Penh|Phnom Penh]""], [""[East_Timor|East Timor]"", ""14,874"", ""1,119,000"", ""74"", ""4,214,000,000"", ""$1,066"", ""0.567"", ""[Dili|Dili]""]]"
table-0813-442,Southeast Asia,Religions,Religions,"[""Country"", ""Religions""]","[[""[Brunei|Brunei]"", ""Islam (67%), Buddhism, Christianity, others (indigenous beliefs, etc.)""], [""[Myanmar|Myanmar]"", ""Buddhism (89%), Islam, Christianity, Animism, others""], [""[Cambodia|Cambodia]"", ""Buddhism (97%), Islam, Christianity, Animism, others""]]"
table-0814-276,SameGame,Versions,Versions of SameGame,"[""Name"", ""Author"", ""Release Date"", ""Platforms"", ""Notes""]","[[""Chain Shot!"", ""KuniakiMoribe"", ""1985"", ""[PC-8801|PC\u20118801]"", ""The original iteration of the game. Had a 20\u00d710 playing field and four colors.""], [""Same Game"", ""EijiFukumoto"", ""1992"", ""[Unix|Unix]"", ""The first version titled Same Game; it increased the number of colors to five.""], [""Same Game"", ""WataruYoshioka (W.Yossi)"", """", ""PC-9801"", """"]]"
table-0814-443,Thomas Guide,State Capitals,State Capitals,"[""Name,SN"", ""RP,SG"", ""AP,SG"", ""UDP,SG""]","[[""[Helena,_Montana|Helena]"", ""10-A1,UR"", ""226-K4,MC"", ""24659-D2,UL""], [""[Boise,_Idaho|Boise]"", ""9-C6,MC"", ""322-G5,LC"", ""37812-D6,ML""], [""[Cheyenne,_Wyoming|Cheyenne]"", ""15-C4,LC"", ""414-E8,LC"", ""49342-D7,ML""]]"
table-0814-469,Thomas Guide,State Capitals,State Capitals,"[""Name,SN"", ""RP,SG"", ""AP,SG"", ""UDP,SG"", ""MDP,SG""]","[[""Carson City,NV"", ""9-F1"", ""206-C3"", ""27755-B2"", """"], [""Sacramento,CA"", ""9-D2,UL"", ""223-D3"", ""29384-F7"", ""SAC297-F7""]]"
table-0814-491,Thomas Guide,Product Listing 1945–2013,Product Listing 1945–2013,"[""Title"", ""State name"", ""First edition"", ""Last edition"", ""TBM # (1977\u201399)"", ""TBM # (1970\u201377)""]","[[""Alameda County"", ""CA"", ""1953"", ""2009"", ""3028"", ""101""], [""Alameda County CENSUS"", ""CA"", ""1973"", ""1985"", ""3128"", """"], [""Alameda County EARTHQUAKE"", ""CA"", ""1984"", ""1984"", ""3?28"", """"]]"
table-0814-494,Thomas Guide,State Capitals,State Capitals,"[""Name,SN"", ""RP,SG"", ""AP,SG"", ""UDP,SG"", ""MDP,SG""]","[[""[Olympia,_Washington|Olympia]"", ""5-C6,LC"", ""172-G9,LR"", ""17628-J5,LC"", ""KPS888-J5,LC""], [""[Salem,_Oregon|Salem]"", ""9-C4,MC"", ""212-E7,UC"", ""23826-E2,MC"", ""POR952-E2,MC""]]"
table-0817-634,Google Data Liberation Front,Google Takeout,Google Takeout,"[""Service"", ""Date \""liberated\"""", ""Notes""]","[[""Google Buzz"", ""June 28, 2011"", """"], [""Google Circles and Contacts"", ""June 28, 2011"", """"], [""Picasa Web Albums"", ""June 28, 2011"", """"]]"
table-0817-899,2003 Origins Award winners,,Hall of Fame inductees,"[""Category"", ""Winner"", ""Company""]","[[""Game of the Year"", ""[HeroClix|Indy HeroClix]"", ""[WizKids|WizKids Games]""], [""Abstract Board Game"", ""[Zendo_(game)|Zendo]"", ""[Looney_Labs|Looney Labs]""], [""Board Game Expansion"", ""Zombies 3: Mallwalkers"", ""Twilight Creations""]]"
table-0817-919,Abad Nucleus Mall,Shopping,Shopping,"[""Store"", ""Category"", ""Store"", ""Category""]","[[""Max Lifestyle"", ""Anchors - Clothing store and Accessories store"", ""[Big_Bazaar|Food Bazaar]"", ""Anchors - Supermarket""], [""[Navigator|Navigator]"", ""Men's Clothing and Casuals"", ""[Fabindia|Fabindia]"", ""Indian Ethnic Dress and Decors""], [""Baby Care"", ""Baby and Kids Store"", ""Toon Kidz"", ""Children's clothing store""]]"
table-0818-856,Jack Horkheimer: Star Gazer (2001 season),2001 season,2001 season,"[""#"", ""#"", ""Title"", ""Directed by"", ""Written by"", ""Original air date""]","[[""1204"", ""#01-01"", ""\""January Is ' How To Use Your New Telescope' Month\"""", ""--"", ""Jack Horkheimer"", ""January1,2001""], [""1205"", ""#01-02"", ""\""Which Season Is the Longest? And Which Is the Shortest? Spring, Summer, Autumn or Winter\"""", ""--"", ""Jack Horkheimer"", ""January8,2001""], [""1206"", ""#01-03"", ""\""The Moon Pays A Visit to the Two Inner Planets and How to Watch It\"""", ""--"", ""Jack Horkheimer"", ""January15,2001""]]"
table-0819-329,Jack Horkheimer: Star Gazer (2002 season),2002 season,2002 season,"[""#"", ""#"", ""Title"", ""Directed by"", ""Written by"", ""Original air date""]","[[""1256"", ""#02-01"", ""\""Earth Closest to the Sun This Week, Mercury at Its Best Evening Appearance, And Jupiter at Its Closest and Brightest for the Entire Year!\"""", ""--"", ""Jack Horkheimer"", ""December31,2001""], [""1257"", ""#02-02"", ""\""The Winter Hexagon and The Summer Triangle in the Sky at the Same Time, Right Now In The Dead Of Winter, Would You Believe?\"""", ""--"", ""Jack Horkheimer"", ""January7,2002""], [""1258"", ""#02-03"", ""\""The Moon Has Two Near Misses with Two Planets!\"""", ""--"", ""Jack Horkheimer"", ""January14,2002""]]"
table-0819-383,Jack Horkheimer: Star Gazer (2004 season),2004 season,2004 season,"[""#"", ""#"", ""Title"", ""Directed by"", ""Written by"", ""Original air date""]","[[""1361"", ""#04-01"", ""\""Four Bright Planets Dazzle January Evenings Plus An Easy Way To Find The 7th Planet\"""", ""--"", ""Jack Horkheimer"", ""January5,2004""], [""1362"", ""#04-02"", ""\""Orion And His Rival Plus The Moon Meets Antares\"""", ""--"", ""Jack Horkheimer"", ""January12,2004""], [""1363"", ""#04-03"", ""\""2 Super Meetings: Our Moon With Venus And Our Moon With Mars\"""", ""--"", ""Jack Horkheimer"", ""January19,2004""]]"
